pub_time(ms) sub_time(ms) delay(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1712890507111 1712890507128 17 328923.020000 3463475.220000 -3.063489 6.300000
1712890507161 1712890507184 23 328922.710000 3463475.200000 -3.063489 6.260000
1712890507211 1712890507228 17 328922.390000 3463475.160000 -3.063489 6.260000
1712890507261 1712890507292 31 328922.200000 3463475.140000 -3.063489 6.320000
1712890507311 1712890507329 18 328921.950000 3463475.110000 -3.063489 6.300000
1712890507361 1712890507385 24 328921.580000 3463475.070000 -3.045163 6.320000
1712890507411 1712890507434 23 328921.200000 3463475.020000 -3.045163 6.300000
1712890507462 1712890507485 23 328920.950000 3463474.990000 -3.045163 6.300000
1712890507512 1712890507536 24 328920.580000 3463474.940000 -3.026619 6.340000
1712890507562 1712890507586 24 328920.200000 3463474.890000 -3.026619 6.300000
1712890507612 1712890507635 23 328919.880000 3463474.850000 -3.026619 6.280000
1712890507662 1712890507686 24 328919.690000 3463474.820000 -3.026619 6.300000
1712890507712 1712890507743 31 328919.260000 3463474.750000 -3.004366 6.280000
1712890507762 1712890507780 18 328919.070000 3463474.730000 -3.004366 6.320000
1712890507813 1712890507836 23 328918.820000 3463474.690000 -3.004366 6.300000
1712890507863 1712890507888 25 328918.380000 3463474.620000 -3.004366 6.280000
1712890507913 1712890507944 31 328918.140000 3463474.580000 -2.992585 6.260000
1712890507963 1712890507982 19 328917.760000 3463474.520000 -2.992585 6.260000
1712890508013 1712890508038 25 328917.460000 3463474.460000 -2.992585 6.300000
1712890508063 1712890508086 23 328917.090000 3463474.390000 -2.992585 6.300000
1712890508113 1712890508140 27 328916.770000 3463474.340000 -2.974914 6.300000
1712890508164 1712890508185 21 328916.460000 3463474.290000 -2.974914 6.300000
1712890508214 1712890508232 18 328916.080000 3463474.220000 -2.974914 6.300000
1712890508264 1712890508282 18 328915.780000 3463474.150000 -2.974914 6.300000
1712890508314 1712890508331 17 328915.460000 3463474.090000 -2.976223 6.300000
1712890508364 1712890508388 24 328915.160000 3463474.030000 -2.976223 6.280000
1712890508414 1712890508436 22 328914.960000 3463473.990000 -2.976223 6.300000
1712890508464 1712890508489 25 328914.660000 3463473.930000 -2.976223 6.300000
1712890508515 1712890508539 24 328914.410000 3463473.880000 -2.943498 6.320000
1712890508565 1712890508588 23 328913.970000 3463473.800000 -2.943498 6.340000
1712890508615 1712890508638 23 328913.970000 3463473.800000 -2.943498 6.340000
1712890508665 1712890508689 24 328913.660000 3463473.720000 -2.943498 6.340000
1712890508715 1712890508739 24 328913.420000 3463473.670000 -2.943498 6.340000
1712890508765 1712890508789 24 328912.980000 3463473.570000 -2.940443 6.340000
1712890508816 1712890508840 24 328912.730000 3463473.520000 -2.940443 6.340000
1712890508866 1712890508889 23 328912.360000 3463473.420000 -2.940443 6.340000
1712890508916 1712890508940 24 328912.050000 3463473.350000 -2.940443 6.340000
1712890508966 1712890508990 24 328911.670000 3463473.270000 -2.924299 6.340000
1712890509016 1712890509040 24 328911.360000 3463473.200000 -2.924299 6.340000
1712890509066 1712890509090 24 328911.180000 3463473.140000 -2.924299 6.340000
1712890509116 1712890509139 23 328910.930000 3463473.080000 -2.924299 6.340000
1712890509167 1712890509191 24 328910.630000 3463473.010000 -2.905755 6.340000
1712890509217 1712890509240 23 328910.310000 3463472.920000 -2.905755 6.360000
1712890509267 1712890509290 23 328909.870000 3463472.810000 -2.905755 6.360000
1712890509317 1712890509340 23 328909.630000 3463472.740000 -2.905755 6.380000
1712890509367 1712890509391 24 328909.380000 3463472.670000 -2.892229 6.400000
1712890509417 1712890509441 24 328908.940000 3463472.550000 -2.892229 6.400000
1712890509468 1712890509492 24 328908.570000 3463472.440000 -2.892229 6.400000
1712890509518 1712890509542 24 328908.330000 3463472.380000 -2.892229 6.400000
1712890509568 1712890509591 23 328907.950000 3463472.260000 -2.873248 6.400000
1712890509618 1712890509639 21 328907.710000 3463472.190000 -2.873248 6.400000
1712890509668 1712890509691 23 328907.460000 3463472.120000 -2.873248 6.420000
1712890509718 1712890509741 23 328907.150000 3463472.020000 -2.873248 6.420000
1712890509768 1712890509791 23 328906.780000 3463471.920000 -2.862558 6.420000
1712890509819 1712890509842 23 328906.530000 3463471.830000 -2.862558 6.420000
1712890509869 1712890509893 24 328906.160000 3463471.720000 -2.862558 6.420000
1712890509919 1712890509943 24 328905.850000 3463471.620000 -2.862558 6.420000
1712890509969 1712890509993 24 328905.480000 3463471.510000 -2.853395 6.420000
1712890510019 1712890510042 23 328905.170000 3463471.400000 -2.853395 6.440000
1712890510069 1712890510085 16 328904.870000 3463471.290000 -2.853395 6.420000
1712890510119 1712890510143 24 328904.560000 3463471.200000 -2.853395 6.460000
1712890510170 1712890510193 23 328904.250000 3463471.090000 -2.835506 6.460000
1712890510220 1712890510244 24 328903.880000 3463470.970000 -2.835506 6.480000
1712890510270 1712890510293 23 328903.640000 3463470.880000 -2.835506 6.480000
1712890510320 1712890510343 23 328903.390000 3463470.790000 -2.835506 6.500000
1712890510370 1712890510395 25 328903.080000 3463470.680000 -2.822197 6.480000
1712890510420 1712890510447 27 328902.780000 3463470.570000 -2.822197 6.500000
1712890510470 1712890510492 22 328902.400000 3463470.440000 -2.822197 6.500000
1712890510520 1712890510544 24 328902.100000 3463470.330000 -2.822197 6.500000
1712890510570 1712890510589 19 328901.790000 3463470.210000 -2.808453 6.500000
1712890510621 1712890510645 24 328901.430000 3463470.080000 -2.808453 6.500000
