pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689585273926 1689585273946 328972.080000 3463464.790000 2.573270 5.520000
1689585273977 1689585274016 328971.890000 3463464.910000 2.573270 5.580000
1689585274027 1689585274090 328971.560000 3463465.120000 2.580251 5.640000
1689585274078 1689585274098 328971.320000 3463465.280000 2.580251 5.660000
1689585274128 1689585274170 328971.180000 3463465.370000 2.580251 5.720000
1689585274179 1689585274245 328970.930000 3463465.530000 2.580251 5.740000
1689585274230 1689585274257 328970.630000 3463465.710000 2.586578 5.780000
1689585274281 1689585274331 328970.440000 3463465.850000 2.586578 5.840000
1689585274331 1689585274406 328970.140000 3463466.030000 2.586578 5.860000
1689585274382 1689585274406 328969.930000 3463466.150000 2.586578 5.900000
1689585274432 1689585274479 328969.680000 3463466.310000 2.586578 5.940000
1689585274432 1689585274555 328969.680000 3463466.310000 2.586578 5.940000
1689585274483 1689585274555 328969.320000 3463466.530000 2.590287 5.980000
1689585274534 1689585274628 328969.060000 3463466.690000 2.590287 6.060000
1689585274585 1689585274708 328968.740000 3463466.870000 2.590287 6.080000
1689585274636 1689585274708 328968.640000 3463466.940000 2.590287 6.120000
1689585274686 1689585274779 328968.320000 3463467.130000 2.599886 6.160000
1689585274737 1689585274856 328968.110000 3463467.260000 2.599886 6.200000
1689585274787 1689585274856 328967.780000 3463467.450000 2.599886 6.240000
1689585274837 1689585274932 328967.460000 3463467.640000 2.608613 6.300000
1689585274888 1689585275016 328967.230000 3463467.770000 2.608613 6.340000
1689585274939 1689585275016 328966.900000 3463467.970000 2.608613 6.340000
1689585274990 1689585275086 328966.620000 3463468.110000 2.608613 6.360000
1689585275041 1689585275101 328966.280000 3463468.310000 2.620612 6.420000
1689585275091 1689585275175 328966.000000 3463468.470000 2.620612 6.460000
1689585275142 1689585275249 328965.770000 3463468.590000 2.620612 6.500000
1689585275192 1689585275265 328965.540000 3463468.720000 2.620612 6.560000
1689585275243 1689585275327 328965.240000 3463468.870000 2.637192 6.600000
1689585275293 1689585275400 328964.950000 3463469.030000 2.637192 6.640000
1689585275344 1689585275410 328964.600000 3463469.210000 2.637192 6.700000
1689585275395 1689585275485 328964.300000 3463469.360000 2.637192 6.720000
1689585275445 1689585275560 328964.000000 3463469.520000 2.652900 6.760000
1689585275495 1689585275560 328963.630000 3463469.700000 2.652900 6.800000
1689585275546 1689585275629 328963.510000 3463469.760000 2.652900 6.840000
1689585275596 1689585275697 328962.950000 3463470.030000 2.652900 6.860000
1689585275647 1689585275710 328962.690000 3463470.150000 2.671663 6.940000
1689585275699 1689585275785 328962.320000 3463470.320000 2.671663 6.960000
1689585275753 1689585275860 328962.180000 3463470.380000 2.671663 7.060000
1689585275804 1689585275860 328962.180000 3463470.380000 2.671663 7.080000
1689585275855 1689585275925 328961.410000 3463470.730000 2.695661 7.160000
1689585275905 1689585276007 328961.210000 3463470.820000 2.695661 7.180000
1689585275956 1689585276015 328960.940000 3463470.930000 2.695661 7.240000
1689585276007 1689585276096 328960.330000 3463471.190000 2.695661 7.320000
1689585276057 1689585276110 328960.060000 3463471.300000 2.719005 7.340000
1689585276108 1689585276183 328959.650000 3463471.480000 2.719005 7.400000
1689585276159 1689585276253 328959.230000 3463471.640000 2.719005 7.440000
1689585276211 1689585276267 328958.880000 3463471.770000 2.719005 7.500000
1689585276261 1689585276340 328958.660000 3463471.850000 2.745185 7.560000
1689585276312 1689585276353 328958.300000 3463471.990000 2.745185 7.600000
1689585276362 1689585276425 328958.100000 3463472.070000 2.745185 7.620000
1689585276413 1689585276500 328957.590000 3463472.250000 2.745185 7.720000
1689585276463 1689585276515 328957.220000 3463472.380000 2.769838 7.800000
1689585276514 1689585276584 328956.920000 3463472.500000 2.769838 7.840000
1689585276565 1689585276657 328956.480000 3463472.650000 2.769838 7.900000
1689585276616 1689585276668 328955.950000 3463472.820000 2.769838 7.980000
1689585276667 1689585276737 328955.640000 3463472.930000 2.793399 8.000000
1689585276717 1689585276810 328955.330000 3463473.030000 2.793399 8.060000
1689585276767 1689585276810 328954.720000 3463473.220000 2.793399 8.100000
1689585276818 1689585276887 328954.320000 3463473.350000 2.817180 8.160000
1689585276869 1689585276962 328953.930000 3463473.470000 2.817180 8.240000
1689585276919 1689585276962 328953.610000 3463473.560000 2.817180 8.280000
1689585276970 1689585277035 328953.290000 3463473.650000 2.817180 8.360000
1689585277021 1689585277110 328952.960000 3463473.750000 2.817180 8.420000
1689585277072 1689585277121 328952.470000 3463473.890000 2.844232 8.480000
1689585277123 1689585277189 328952.050000 3463474.000000 2.844232 8.540000
1689585277173 1689585277268 328951.640000 3463474.100000 2.844232 8.600000
1689585277224 1689585277268 328951.050000 3463474.250000 2.870630 8.660000
1689585277274 1689585277342 328950.620000 3463474.350000 2.870630 8.700000
1689585277325 1689585277355 328950.190000 3463474.450000 2.870630 8.760000
1689585277376 1689585277438 328949.770000 3463474.540000 2.870630 8.800000
1689585277426 1689585277510 328949.420000 3463474.620000 2.870630 8.840000
1689585277477 1689585277518 328948.810000 3463474.750000 2.905101 8.900000
1689585277527 1689585277589 328948.360000 3463474.820000 2.905101 8.940000
1689585277578 1689585277662 328948.100000 3463474.870000 2.905101 9.000000
1689585277629 1689585277662 328947.650000 3463474.950000 2.905101 9.080000
1689585277679 1689585277741 328947.190000 3463475.030000 2.937607 9.140000
1689585277730 1689585277828 328946.650000 3463475.120000 2.937607 9.200000
1689585277781 1689585277828 328946.190000 3463475.190000 2.937607 9.280000
1689585277832 1689585277897 328945.640000 3463475.260000 2.972950 9.280000
1689585277881 1689585277913 328945.170000 3463475.330000 2.972950 9.300000
1689585277931 1689585277986 328944.710000 3463475.390000 2.972950 9.340000
1689585277983 1689585278065 328944.420000 3463475.420000 2.972950 9.440000
1689585278033 1689585278073 328944.150000 3463475.460000 2.972950 9.480000
1689585278084 1689585278140 328943.480000 3463475.530000 3.006330 9.520000
1689585278135 1689585278216 328942.900000 3463475.590000 3.006330 9.580000
1689585278185 1689585278216 328942.420000 3463475.630000 3.006330 9.640000
1689585278235 1689585278296 328942.030000 3463475.670000 3.006330 9.720000
1689585278286 1689585278307 328941.360000 3463475.720000 3.033382 9.720000
1689585278337 1689585278380 328941.160000 3463475.740000 3.033382 9.760000
1689585278388 1689585278450 328940.470000 3463475.780000 3.033382 9.780000
1689585278439 1689585278466 328939.890000 3463475.810000 3.066325 9.800000
1689585278489 1689585278535 328939.300000 3463475.850000 3.066325 9.780000
1689585278540 1689585278609 328938.800000 3463475.880000 3.066325 9.780000
1689585278591 1689585278625 328938.510000 3463475.880000 3.066325 9.800000
1689585278641 1689585278695 328938.010000 3463475.900000 3.093378 9.820000
1689585278693 1689585278716 328937.520000 3463475.920000 3.093378 9.820000
1689585278742 1689585278788 328936.930000 3463475.930000 3.093378 9.780000
1689585278794 1689585278860 328936.430000 3463475.940000 3.093378 9.740000
1689585278843 1689585278867 328936.040000 3463475.930000 3.117594 9.780000
1689585278895 1689585278940 328935.650000 3463475.940000 3.117594 9.720000
1689585278945 1689585279009 328934.960000 3463475.940000 3.117594 9.720000
1689585278996 1689585279020 328934.370000 3463475.940000 3.117594 9.720000
1689585278996 1689585279096 328934.370000 3463475.940000 3.117594 9.720000
1689585279047 1689585279170 328933.890000 3463475.920000 -3.140065 9.720000
1689585279098 1689585279170 328933.500000 3463475.930000 -3.140065 9.700000
1689585279148 1689585279240 328932.920000 3463475.920000 -3.140065 9.700000
1689585279200 1689585279315 328932.430000 3463475.900000 -3.140065 9.620000
1689585279249 1689585279329 328931.840000 3463475.890000 -3.125885 9.580000
1689585279301 1689585279396 328931.550000 3463475.870000 -3.125885 9.560000
1689585279351 1689585279470 328931.270000 3463475.870000 -3.125885 9.500000
1689585279401 1689585279470 328930.690000 3463475.840000 -3.125885 9.480000
1689585279452 1689585279547 328930.020000 3463475.820000 -3.103195 9.460000
1689585279502 1689585279621 328929.540000 3463475.800000 -3.103195 9.440000
1689585279552 1689585279621 328929.160000 3463475.780000 -3.103195 9.400000
1689585279603 1689585279698 328928.590000 3463475.750000 -3.103195 9.380000
1689585279653 1689585279772 328928.120000 3463475.730000 -3.091414 9.380000
1689585279704 1689585279772 328927.560000 3463475.690000 -3.091414 9.360000
1689585279755 1689585279845 328927.090000 3463475.670000 -3.091414 9.320000
1689585279806 1689585279926 328926.630000 3463475.630000 -3.091414 9.280000
1689585279856 1689585279926 328926.340000 3463475.610000 -3.078106 9.280000
1689585279907 1689585280001 328925.600000 3463475.560000 -3.078106 9.280000
1689585279958 1689585280022 328925.240000 3463475.520000 -3.078106 9.260000
1689585280008 1689585280096 328924.670000 3463475.470000 -3.078106 9.240000
1689585280060 1689585280176 328924.400000 3463475.440000 -3.056290 9.260000
1689585280111 1689585280176 328924.020000 3463475.410000 -3.056290 9.240000
